id	argVar	pvform	lemma	pvv	mood	cau	pot	acc	dat
hívs658w7	1	0	hív	0+hív	ind	-	-	0	0
hívs659w2	2	0	hív	0+hív	ind	-	-	0	1
hívs662w6	1	0	hív	0+hív	ind	-	-	1	0
hívs664w7	2	0	hív	0+hív	ind	-	-	0	1
hívs665w3	2	0	hív	0+hív	ind	-	-	0	1
hívs666w6	1	0	hív	0+hív	ind	-	-	1	0
hívs667w16	2	0	hív	0+hív	ind	-	-	1	1
hívs668w7	1	0	hív	0+hív	ind	-	-	1	0
hívs669w2	1	0	hív	0+hív	ind	-	-	1	0
hívs671w2	1	0	hív	0+hív	ind	-	-	0	0
