id	argVar	pvform	lemma	pvv	mood	cau	pot	acc	VAL	BA
bevons587w6	2	be	von	be+von	ind	-	-	1	0	1
bevons588w4	2	be	von	be+von	ind	-	-	1	0	1
bevons589w5	2	be	von	be+von	ind	-	-	1	0	0
bevons590w4	2	be	von	be+von	ind	-	-	1	0	1
bevons592w5	2	be	von	be+von	ind	-	-	1	0	1
bevons598w9	2	be	von	be+von	ind	-	-	1	0	1
bevons600w6	2	be	von	be+von	ind	-	-	1	0	1
bevons601w2	2	be	von	be+von	ind	-	-	1	0	0
bevons609w4	1	be	von	be+von	ind	-	-	1	1	0
bevons612w15	2	be	von	be+von	ind	-	-	1	0	1
bevons613w15	1	be	von	be+von	ind	-	-	1	1	0
bevons616w10	2	be	von	be+von	ind	-	-	1	0	1
bevons619w4	2	be	von	be+von	ind	-	-	1	0	0
bevons622w9	2	be	von	be+von	ind	-	-	1	0	1
bevons623w2	2	be	von	be+von	ind	-	-	1	0	0
bevons624w2	2	be	von	be+von	ind	-	-	1	0	1
bevons627w7	2	be	von	be+von	ind	-	-	1	0	1
bevons630w2	2	be	von	be+von	ind	-	-	0	0	1
bevons633w6	2	be	von	be+von	ind	-	-	1	1	1
bevons634w12	2	be	von	be+von	ind	-	-	1	0	1
bevons636w3	1	be	von	be+von	ind	-	-	0	1	0
bevons637w2	2	be	von	be+von	ind	-	-	1	0	1
bevons639w4	2	be	von	be+von	ind	-	-	1	0	1
bevons640w3	2	be	von	be+von	ind	-	-	1	0	1
bevons641w8	2	be	von	be+von	ind	-	-	1	0	1
bevons642w25	2	be	von	be+von	ind	-	-	1	0	1
